Model,Epoch,TrainLoss,ValLoss
MLP,0,5217.9453125,1265.167236328125
MLP,1,1252.6673583984375,1261.441162109375
MLP,2,1270.0216064453125,1281.9674072265625
MLP,3,1284.6905517578125,1296.792724609375
MLP,4,1294.3038330078125,1310.557373046875
MLP,5,1307.234619140625,1320.944091796875
MLP,6,1321.237548828125,1327.59716796875
MLP,7,1326.3336181640625,1326.544921875
MLP,8,1325.3055419921875,1326.5108642578125
MLP,9,1325.038330078125,1322.149169921875
MLP,10,1349.6585693359375,1317.4227294921875
MLP,11,1327.7974853515625,1306.02978515625
MLP,12,1317.173095703125,1318.5963134765625
MLP,13,1313.27880859375,1311.98779296875
MLP,14,1309.3819580078125,1296.75341796875
MLP,15,1298.452880859375,1289.4130859375
MLP,16,1286.8499755859375,1279.029052734375
MLP,17,1282.9217529296875,1281.68359375
MLP,18,1283.2669677734375,1271.57763671875
MLP,19,1274.4178466796875,1258.8680419921875
MLP,20,1279.2861328125,1273.91455078125
MLP,21,1264.880859375,1265.00244140625
MLP,22,1274.4061279296875,1269.9588623046875
MLP,23,1282.26611328125,1269.916259765625
MLP,24,1262.36083984375,1263.5189208984375
MLP,25,1273.290771484375,1268.578857421875
MLP,26,1272.34423828125,1272.9403076171875
MLP,27,1281.093505859375,1268.3470458984375
MLP,28,1278.5772705078125,1250.9796142578125
MLP,29,1260.6370849609375,1261.408203125
MLP,30,1253.4239501953125,1260.5701904296875
MLP,31,1244.97802734375,1263.3485107421875
MLP,32,1254.6270751953125,1255.2913818359375
MLP,33,1254.3818359375,1250.752197265625
MLP,34,1246.3203125,1261.49853515625
MLP,35,1253.4610595703125,1259.302001953125
MLP,36,1251.6829833984375,1252.948486328125
MLP,37,1255.026611328125,1257.1822509765625
MLP,38,1251.0770263671875,1254.557861328125
MLP,39,1244.189697265625,1257.3255615234375
MLP,40,1256.8193359375,1247.3739013671875
MLP,41,1253.7825927734375,1253.060791015625
MLP,42,1254.867431640625,1253.048095703125
MLP,43,1251.4495849609375,1254.140380859375
MLP,44,1251.152099609375,1237.322998046875
MLP,45,1255.8233642578125,1235.35693359375
MLP,46,1250.09130859375,1247.233642578125
MLP,47,1248.72900390625,1235.912109375
MLP,48,1237.2010498046875,1238.9737548828125
MLP,49,1250.984619140625,1248.97900390625
MLP,50,1249.6510009765625,1252.6112060546875
MLP,51,1252.060302734375,1251.7335205078125
MLP,52,1248.7738037109375,1240.8492431640625
MLP,53,1239.2723388671875,1229.8466796875
MLP,54,1249.9910888671875,1243.4801025390625
MLP,55,1235.5260009765625,1244.84130859375
MLP,56,1246.806396484375,1239.8233642578125
MLP,57,1231.3470458984375,1245.974365234375
MLP,58,1246.0323486328125,1236.1268310546875
MLP,59,1241.9427490234375,1245.0701904296875
MLP,60,1243.0970458984375,1240.690673828125
MLP,61,1239.979736328125,1237.3914794921875
MLP,62,1232.0465087890625,1241.756103515625
MLP,63,1244.2061767578125,1242.447021484375
MLP,64,1236.3330078125,1252.45068359375
MLP,65,1232.030517578125,1239.74853515625
MLP,66,1247.6475830078125,1245.8338623046875
MLP,67,1243.2235107421875,1234.8131103515625
MLP,68,1237.6710205078125,1244.5118408203125
MLP,69,1233.4136962890625,1241.8050537109375
MLP,70,1237.409912109375,1240.658935546875
MLP,71,1239.182861328125,1244.34228515625
MLP,72,1237.0531005859375,1237.26806640625
MLP,73,1234.153564453125,1237.5733642578125
MLP,74,1240.7620849609375,1221.09130859375
MLP,75,1248.3192138671875,1240.67431640625
MLP,76,1235.863525390625,1241.212646484375
MLP,77,1233.2191162109375,1226.9434814453125
MLP,78,1242.5179443359375,1231.5950927734375
MLP,79,1240.4202880859375,1241.7860107421875
MLP,80,1238.1895751953125,1233.7486572265625
MLP,81,1232.2320556640625,1242.123046875
MLP,82,1229.3084716796875,1236.3753662109375
MLP,83,1230.13427734375,1227.84228515625
MLP,84,1229.8968505859375,1236.6273193359375
MLP,85,1231.2103271484375,1236.44189453125
MLP,86,1232.2757568359375,1235.9322509765625
MLP,87,1233.061767578125,1227.57958984375
MLP,88,1231.289794921875,1242.5635986328125
MLP,89,1235.90576171875,1238.5347900390625
MLP,90,1240.1871337890625,1234.423583984375
MLP,91,1238.747314453125,1232.882080078125
MLP,92,1234.2255859375,1236.447021484375
MLP,93,1221.882080078125,1234.0064697265625
MLP,94,1235.4375,1227.2667236328125
MLP,95,1229.6319580078125,1233.5169677734375
MLP,96,1229.68798828125,1230.562744140625
MLP,97,1226.780517578125,1244.4178466796875
MLP,98,1234.619384765625,1231.919921875
MLP,99,1234.0318603515625,1236.931396484375
MLP,100,1229.5147705078125,1219.582763671875
MLP,101,1235.1190185546875,1225.4853515625
MLP,102,1218.5054931640625,1223.5244140625
MLP,103,1226.9442138671875,1231.3153076171875
MLP,104,1227.8499755859375,1238.208251953125
MLP,105,1233.61083984375,1227.0924072265625
MLP,106,1226.4290771484375,1229.8685302734375
MLP,107,1226.20556640625,1228.05029296875
MLP,108,1221.349609375,1219.1820068359375
MLP,109,1222.23291015625,1227.68896484375
MLP,110,1237.7698974609375,1238.3289794921875
MLP,111,1229.915283203125,1220.3486328125
MLP,112,1222.9888916015625,1227.642822265625
MLP,113,1229.6793212890625,1235.0721435546875
MLP,114,1236.164306640625,1226.477294921875
MLP,115,1218.3017578125,1241.9857177734375
MLP,116,1225.439453125,1225.1090087890625
MLP,117,1232.7125244140625,1234.0042724609375
MLP,118,1230.8502197265625,1218.486572265625
MLP,119,1231.3743896484375,1230.103759765625
MLP,120,1237.857421875,1229.465576171875
MLP,121,1229.762939453125,1225.18408203125
MLP,122,1231.69384765625,1222.40478515625
MLP,123,1219.3857421875,1224.2943115234375
MLP,124,1231.4097900390625,1222.81201171875
MLP,125,1228.1700439453125,1229.5018310546875
MLP,126,1220.32177734375,1225.1953125
MLP,127,1227.257080078125,1225.109375
MLP,128,1228.541015625,1220.8585205078125
MLP,129,1229.769287109375,1241.9857177734375
MLP,130,1231.3232421875,1227.4735107421875
MLP,131,1225.4183349609375,1230.4947509765625
MLP,132,1227.5360107421875,1226.6805419921875
MLP,133,1230.5638427734375,1227.4066162109375
MLP,134,1221.9627685546875,1220.77197265625
MLP,135,1227.84375,1222.1270751953125
MLP,136,1214.341064453125,1221.8997802734375
MLP,137,1234.17236328125,1229.8070068359375
MLP,138,1221.717529296875,1220.947265625
MLP,139,1229.5645751953125,1238.227783203125
MLP,140,1218.904052734375,1223.9635009765625
MLP,141,1225.8331298828125,1221.933349609375
MLP,142,1224.6759033203125,1221.7738037109375
MLP,143,1231.2608642578125,1225.71630859375
MLP,144,1219.6650390625,1223.3150634765625
MLP,145,1217.632080078125,1226.0028076171875
MLP,146,1215.38232421875,1240.320068359375
MLP,147,1228.6485595703125,1224.35009765625
MLP,148,1223.76708984375,1226.027587890625
MLP,149,1212.894775390625,1226.279296875
MLP,150,1216.6483154296875,1234.7535400390625
MLP,151,1222.1925048828125,1225.930419921875
MLP,152,1219.155517578125,1231.470458984375
MLP,153,1214.80419921875,1228.769287109375
MLP,154,1225.9732666015625,1219.6400146484375
MLP,155,1225.9906005859375,1218.2081298828125
MLP,156,1239.5223388671875,1225.8128662109375
MLP,157,1226.3363037109375,1220.6602783203125
MLP,158,1224.674560546875,1223.4427490234375
MLP,159,1226.6578369140625,1221.4234619140625
MLP,160,1223.7747802734375,1226.342529296875
MLP,161,1217.3765869140625,1228.9007568359375
MLP,162,1232.820068359375,1225.3304443359375
MLP,163,1221.5125732421875,1231.265625
MLP,164,1222.9598388671875,1219.3175048828125
MLP,165,1214.142578125,1229.66357421875
MLP,166,1213.8594970703125,1218.1229248046875
MLP,167,1224.3240966796875,1224.836181640625
MLP,168,1226.610107421875,1222.943359375
MLP,169,1213.07275390625,1212.1336669921875
MLP,170,1215.90283203125,1224.48828125
MLP,171,1220.0679931640625,1228.6436767578125
MLP,172,1228.5350341796875,1222.9425048828125
MLP,173,1229.2841796875,1208.23681640625
MLP,174,1218.6436767578125,1225.3258056640625
MLP,175,1228.35400390625,1217.7330322265625
MLP,176,1223.7926025390625,1221.4844970703125
MLP,177,1226.0565185546875,1228.705810546875
MLP,178,1218.8167724609375,1221.766357421875
MLP,179,1225.1485595703125,1216.4400634765625
MLP,180,1229.654052734375,1230.5963134765625
MLP,181,1216.978515625,1219.445556640625
MLP,182,1229.5753173828125,1223.372314453125
MLP,183,1218.8375244140625,1223.4222412109375
MLP,184,1212.4334716796875,1223.724609375
MLP,185,1225.1611328125,1223.3602294921875
MLP,186,1221.5838623046875,1226.4635009765625
MLP,187,1229.0206298828125,1221.787841796875
MLP,188,1219.0570068359375,1220.771484375
MLP,189,1220.832763671875,1220.6533203125
MLP,190,1217.634521484375,1220.1375732421875
MLP,191,1218.89306640625,1217.71533203125
MLP,192,1217.6129150390625,1220.9029541015625
MLP,193,1218.6380615234375,1220.346923828125
MLP,194,1219.4208984375,1210.0341796875
MLP,195,1223.2271728515625,1228.1033935546875
MLP,196,1218.2225341796875,1207.69970703125
MLP,197,1216.7510986328125,1209.1160888671875
MLP,198,1218.86376953125,1211.143798828125
MLP,199,1216.1375732421875,1215.136474609375
MLP,200,1212.5013427734375,1218.5455322265625
MLP,201,1215.63525390625,1219.536865234375
MLP,202,1222.17236328125,1223.124755859375
MLP,203,1219.16357421875,1211.8565673828125
MLP,204,1217.706787109375,1221.0748291015625
MLP,205,1219.3905029296875,1217.630859375
MLP,206,1216.6201171875,1225.1549072265625
MLP,207,1218.2513427734375,1224.6390380859375
MLP,208,1221.7205810546875,1219.184814453125
MLP,209,1216.3377685546875,1216.2816162109375
MLP,210,1218.5660400390625,1217.0845947265625
MLP,211,1223.8919677734375,1219.7364501953125
MLP,212,1227.0140380859375,1229.724609375
MLP,213,1212.8878173828125,1218.443359375
MLP,214,1216.9305419921875,1217.279296875
MLP,215,1217.6727294921875,1212.864013671875
MLP,216,1219.000732421875,1217.6416015625
MLP,217,1216.884765625,1223.54638671875
MLP,218,1221.6307373046875,1229.4814453125
MLP,219,1208.3951416015625,1214.954833984375
MLP,220,1211.3978271484375,1220.1170654296875
MLP,221,1222.3135986328125,1218.6407470703125
MLP,222,1219.6585693359375,1221.7125244140625
MLP,223,1217.2470703125,1224.1378173828125
MLP,224,1221.4110107421875,1215.69921875
MLP,225,1213.803955078125,1211.2724609375
MLP,226,1209.1610107421875,1208.276611328125
MLP,227,1215.5738525390625,1220.092041015625
MLP,228,1219.9267578125,1217.9608154296875
MLP,229,1228.477783203125,1220.847412109375
MLP,230,1220.3243408203125,1215.6295166015625
MLP,231,1213.974609375,1224.8765869140625
MLP,232,1227.7120361328125,1216.342041015625
MLP,233,1208.5400390625,1224.3935546875
MLP,234,1218.5177001953125,1216.779052734375
MLP,235,1211.6820068359375,1221.728271484375
MLP,236,1219.6768798828125,1213.496337890625
MLP,237,1219.302001953125,1218.423095703125
MLP,238,1219.64501953125,1209.52392578125
MLP,239,1217.7366943359375,1217.4036865234375
MLP,240,1218.5972900390625,1211.788818359375
MLP,241,1220.572509765625,1215.49609375
MLP,242,1218.0423583984375,1214.35302734375
MLP,243,1212.039306640625,1226.2847900390625
MLP,244,1214.4193115234375,1206.550048828125
MLP,245,1224.156005859375,1210.832763671875
MLP,246,1216.884765625,1217.6522216796875
MLP,247,1218.027099609375,1215.4495849609375
MLP,248,1218.1287841796875,1211.4410400390625
MLP,249,1213.1915283203125,1209.7779541015625
MLP,250,1219.652587890625,1211.5440673828125
MLP,251,1210.354248046875,1211.3485107421875
MLP,252,1228.111572265625,1204.3482666015625
MLP,253,1218.0615234375,1218.33544921875
MLP,254,1213.623046875,1215.695068359375
MLP,255,1211.4449462890625,1215.7198486328125
MLP,256,1214.4400634765625,1218.426025390625
MLP,257,1215.8594970703125,1213.2503662109375
MLP,258,1217.2327880859375,1201.880859375
MLP,259,1214.81884765625,1210.7855224609375
MLP,260,1221.0020751953125,1213.1219482421875
MLP,261,1220.9281005859375,1221.8382568359375
MLP,262,1214.799560546875,1207.881103515625
MLP,263,1213.052001953125,1217.1116943359375
MLP,264,1215.8570556640625,1220.262451171875
MLP,265,1211.73486328125,1206.0050048828125
MLP,266,1228.2196044921875,1208.875
MLP,267,1213.6048583984375,1208.0721435546875
MLP,268,1205.7381591796875,1214.5447998046875
MLP,269,1204.82568359375,1205.3592529296875
MLP,270,1217.1922607421875,1211.821533203125
MLP,271,1226.45703125,1216.582275390625
MLP,272,1213.837158203125,1214.71826171875
MLP,273,1209.0760498046875,1224.8624267578125
MLP,274,1217.374267578125,1213.3355712890625
MLP,275,1210.67578125,1216.630859375
MLP,276,1219.9488525390625,1210.6767578125
MLP,277,1214.694091796875,1211.121337890625
MLP,278,1209.9622802734375,1217.4281005859375
MLP,279,1218.2880859375,1209.049072265625
MLP,280,1218.373046875,1210.11328125
MLP,281,1216.793701171875,1217.1175537109375
MLP,282,1222.1297607421875,1215.520751953125
MLP,283,1223.1820068359375,1206.271240234375
MLP,284,1223.18408203125,1210.48681640625
MLP,285,1218.0042724609375,1212.778564453125
MLP,286,1204.7711181640625,1210.0694580078125
MLP,287,1209.8935546875,1208.1583251953125
MLP,288,1211.778076171875,1213.7490234375
MLP,289,1220.5135498046875,1218.4241943359375
MLP,290,1216.3941650390625,1206.58984375
MLP,291,1219.5223388671875,1210.7955322265625
MLP,292,1214.1951904296875,1219.4205322265625
MLP,293,1213.873779296875,1206.912109375
MLP,294,1218.93603515625,1203.9013671875
MLP,295,1215.7215576171875,1211.672607421875
MLP,296,1216.4534912109375,1214.36083984375
MLP,297,1208.04345703125,1206.326904296875
MLP,298,1206.2757568359375,1214.730224609375
MLP,299,1199.8515625,1213.2923583984375
MLP,300,1209.52978515625,1220.5850830078125
MLP,301,1219.025146484375,1210.955810546875
MLP,302,1212.1529541015625,1224.1287841796875
MLP,303,1210.562255859375,1210.3597412109375
MLP,304,1211.77880859375,1209.8035888671875
MLP,305,1209.84130859375,1219.5426025390625
MLP,306,1218.83935546875,1210.955810546875
MLP,307,1209.7615966796875,1207.7674560546875
MLP,308,1215.0380859375,1213.7454833984375
MLP,309,1209.596923828125,1204.6710205078125
MLP,310,1215.9600830078125,1212.25146484375
MLP,311,1221.2091064453125,1211.736083984375
MLP,312,1217.3460693359375,1210.505126953125
MLP,313,1211.740966796875,1220.0948486328125
MLP,314,1213.259765625,1210.3404541015625
MLP,315,1220.126708984375,1208.077392578125
MLP,316,1216.4652099609375,1209.3656005859375
MLP,317,1206.7738037109375,1209.4456787109375
MLP,318,1213.8818359375,1209.1434326171875
MLP,319,1212.987548828125,1206.238037109375
MLP,320,1211.1297607421875,1215.4405517578125
MLP,321,1206.7620849609375,1219.542236328125
MLP,322,1215.361572265625,1208.675537109375
MLP,323,1211.629638671875,1214.028564453125
MLP,324,1207.3341064453125,1216.2537841796875
MLP,325,1211.1156005859375,1210.1171875
