Model,Epoch,TrainLoss,ValLoss
MiniViT,0,3629.651611328125,1603.5860595703125
MiniViT,1,1585.09033203125,1705.1812744140625
MiniViT,2,1712.4970703125,1633.8297119140625
MiniViT,3,1612.862060546875,1544.213623046875
MiniViT,4,1534.60986328125,1469.0047607421875
MiniViT,5,1479.454833984375,1443.707275390625
MiniViT,6,1433.2518310546875,1415.3328857421875
MiniViT,7,1413.5859375,1404.37744140625
MiniViT,8,1406.134033203125,1385.02783203125
MiniViT,9,1401.119140625,1368.4307861328125
MiniViT,10,1366.63525390625,1356.962646484375
MiniViT,11,1357.5069580078125,1340.3974609375
MiniViT,12,1349.8497314453125,1331.31201171875
MiniViT,13,1339.903564453125,1327.456787109375
MiniViT,14,1315.9508056640625,1321.2596435546875
MiniViT,15,1323.9698486328125,1308.20556640625
MiniViT,16,1312.35986328125,1309.958740234375
MiniViT,17,1310.68359375,1300.7843017578125
MiniViT,18,1285.9443359375,1294.4326171875
MiniViT,19,1286.35888671875,1287.462890625
MiniViT,20,1286.435546875,1276.850341796875
MiniViT,21,1282.267822265625,1278.465087890625
MiniViT,22,1279.4385986328125,1273.7044677734375
MiniViT,23,1266.38134765625,1273.630859375
MiniViT,24,1262.263916015625,1269.6263427734375
MiniViT,25,1273.6785888671875,1268.020263671875
MiniViT,26,1260.6478271484375,1256.205322265625
MiniViT,27,1262.7469482421875,1264.196044921875
MiniViT,28,1253.04638671875,1253.672607421875
MiniViT,29,1251.9207763671875,1247.1336669921875
MiniViT,30,1254.84228515625,1259.43701171875
MiniViT,31,1254.14697265625,1235.0679931640625
MiniViT,32,1238.1392822265625,1234.495849609375
MiniViT,33,1240.8184814453125,1240.13427734375
MiniViT,34,1250.599609375,1243.4942626953125
MiniViT,35,1236.093017578125,1238.2735595703125
MiniViT,36,1250.4576416015625,1243.265380859375
MiniViT,37,1238.25830078125,1239.9718017578125
MiniViT,38,1234.6790771484375,1232.15185546875
MiniViT,39,1241.517822265625,1226.3992919921875
MiniViT,40,1236.0858154296875,1234.7091064453125
MiniViT,41,1236.3255615234375,1231.7412109375
MiniViT,42,1231.464599609375,1242.1673583984375
MiniViT,43,1227.5020751953125,1238.9437255859375
MiniViT,44,1230.88232421875,1231.298095703125
MiniViT,45,1223.6529541015625,1228.64208984375
MiniViT,46,1230.843017578125,1236.4910888671875
MiniViT,47,1224.028076171875,1224.989501953125
MiniViT,48,1232.040283203125,1236.416259765625
MiniViT,49,1229.9822998046875,1215.822021484375
MiniViT,50,1222.770751953125,1225.09228515625
MiniViT,51,1226.6585693359375,1222.717041015625
MiniViT,52,1226.333251953125,1224.2572021484375
MiniViT,53,1223.10205078125,1218.8028564453125
MiniViT,54,1222.1849365234375,1233.8365478515625
MiniViT,55,1216.0712890625,1221.3167724609375
MiniViT,56,1220.6610107421875,1213.5865478515625
MiniViT,57,1218.00732421875,1227.85205078125
MiniViT,58,1221.3851318359375,1216.0556640625
MiniViT,59,1213.841064453125,1223.261962890625
MiniViT,60,1212.2696533203125,1221.1988525390625
MiniViT,61,1229.3673095703125,1218.660400390625
MiniViT,62,1222.8489990234375,1217.40380859375
MiniViT,63,1209.64111328125,1212.5406494140625
MiniViT,64,1220.1505126953125,1220.9581298828125
MiniViT,65,1215.731689453125,1230.16357421875
MiniViT,66,1216.3675537109375,1223.573486328125
MiniViT,67,1223.40771484375,1218.5240478515625
MiniViT,68,1212.5167236328125,1213.028076171875
MiniViT,69,1218.8270263671875,1222.5672607421875
MiniViT,70,1224.9254150390625,1209.883544921875
MiniViT,71,1221.8048095703125,1210.9205322265625
MiniViT,72,1213.5626220703125,1212.947021484375
MiniViT,73,1216.5421142578125,1217.0223388671875
MiniViT,74,1221.1885986328125,1219.4910888671875
MiniViT,75,1218.49462890625,1221.004638671875
MiniViT,76,1209.614501953125,1218.5943603515625
MiniViT,77,1215.146484375,1212.7200927734375
MiniViT,78,1217.6715087890625,1212.775146484375
MiniViT,79,1211.4708251953125,1211.0384521484375
MiniViT,80,1210.5445556640625,1221.923583984375
MiniViT,81,1213.870849609375,1207.7288818359375
MiniViT,82,1212.8240966796875,1210.41552734375
MiniViT,83,1224.71142578125,1218.706298828125
MiniViT,84,1211.5548095703125,1208.7568359375
MiniViT,85,1209.926513671875,1213.7645263671875
MiniViT,86,1213.4884033203125,1213.669189453125
MiniViT,87,1209.4661865234375,1217.39111328125
MiniViT,88,1205.7215576171875,1216.4197998046875
MiniViT,89,1208.5977783203125,1209.86376953125
MiniViT,90,1211.194580078125,1211.9151611328125
MiniViT,91,1208.43603515625,1204.3697509765625
MiniViT,92,1208.8272705078125,1213.6201171875
MiniViT,93,1214.8763427734375,1217.05517578125
MiniViT,94,1218.2086181640625,1207.953857421875
MiniViT,95,1212.8665771484375,1215.84130859375
MiniViT,96,1207.334716796875,1213.7457275390625
MiniViT,97,1211.96728515625,1208.425048828125
MiniViT,98,1214.2225341796875,1219.197998046875
MiniViT,99,1214.2470703125,1210.54833984375
MiniViT,100,1208.4638671875,1209.3526611328125
MiniViT,101,1207.9105224609375,1215.7957763671875
MiniViT,102,1204.1175537109375,1216.051513671875
MiniViT,103,1209.543212890625,1206.4527587890625
MiniViT,104,1207.04541015625,1197.782470703125
MiniViT,105,1207.8272705078125,1202.8919677734375
MiniViT,106,1207.1075439453125,1216.246337890625
MiniViT,107,1215.3167724609375,1204.7906494140625
MiniViT,108,1213.5224609375,1208.21923828125
MiniViT,109,1207.28369140625,1212.2713623046875
MiniViT,110,1206.532470703125,1208.5535888671875
MiniViT,111,1206.7852783203125,1197.0087890625
MiniViT,112,1212.5538330078125,1211.4591064453125
MiniViT,113,1211.922607421875,1209.4322509765625
MiniViT,114,1201.5052490234375,1203.0008544921875
MiniViT,115,1208.967529296875,1213.7257080078125
MiniViT,116,1212.9024658203125,1211.5185546875
MiniViT,117,1205.6754150390625,1192.52978515625
MiniViT,118,1206.2020263671875,1201.0252685546875
MiniViT,119,1206.955810546875,1211.077880859375
MiniViT,120,1197.7916259765625,1203.9915771484375
