Model,Type,Compare,Loss,MSE,CosineSimilarity,KL(x||y),KL(y||x),JS Divergence,Bhattacharyya,Wasserstein
MiniViT,path1_latent,Forward vs Inverse,1.0873905420303345,0.0010455679148435593,-0.0005418911459855735,261.99078369140625,3525.6416015625,1893.816162109375,,0.9592631459236145
ConvNet,path1_latent,Forward vs Inverse,0.0522417388856411,1.2754330782627221e-05,0.01183675229549408,44.572265625,50.1341552734375,47.35321044921875,,0.20806649327278137
PCA_MLP,path1_latent,Forward vs Inverse,0.9526529312133789,0.05954080820083618,0.010106087662279606,10.969121932983398,18.07809829711914,14.52361011505127,2.0751895904541016,0.912973940372467
MLP,path1_latent,Forward vs Inverse,0.9107171893119812,0.06505122780799866,-0.06582173705101013,30.75533676147461,3839.9580078125,1935.356689453125,23.667186737060547,0.3449859619140625
MiniViT,path1_latent,Forward vs Inverse,1.0873905420303345,0.0010455679148435593,-0.0005418911459855735,261.99078369140625,3525.6416015625,1893.816162109375,,0.9592631459236145
ConvNet,path1_latent,Forward vs Inverse,0.0522417388856411,1.2754330782627221e-05,0.01183675229549408,44.572265625,50.1341552734375,47.35321044921875,,0.20806649327278137
PCA_MLP,path1_latent,Forward vs Inverse,0.9526529312133789,0.05954080820083618,0.010106087662279606,10.969121932983398,18.07809829711914,14.52361011505127,2.0751895904541016,0.912973940372467
MLP,path1_latent,Forward vs Inverse,0.9107171893119812,0.06505122780799866,-0.06582173705101013,30.75533676147461,3839.9580078125,1935.356689453125,23.667186737060547,0.3449859619140625
MiniViT,path2_latent,Forward vs Inverse,1961.7574462890625,1.8863052129745483,0.6094037890434265,15066.8994140625,1134.9993896484375,8100.94921875,236.025390625,42.29192352294922
ConvNet,path2_latent,Forward vs Inverse,2150.9462890625,0.5251333713531494,0.16926483809947968,369647.25,238099.203125,303873.21875,,45.20861053466797
PCA_MLP,path2_latent,Forward vs Inverse,54.45304870605469,3.403315544128418,0.16526681184768677,69.5079345703125,8.780202865600586,39.14406967163086,2.9549896717071533,6.773784637451172
MLP,path2_latent,Forward vs Inverse,16.30038070678711,1.1643129587173462,0.4043078124523163,34.257347106933594,4.519922256469727,19.388633728027344,1.512063980102539,3.6995551586151123
MiniViT,path1_inverse,Forward vs Inverse,1300.9169921875,1.270426630973816,0.5698568224906921,3762.79296875,5016171.0,2509967.0,3667.70458984375,36.038604736328125
ConvNet,path1_inverse,Forward vs Inverse,1363.3958740234375,1.3314411640167236,0.5405867695808411,3842.021484375,5142098.5,2572970.25,,36.88471984863281
PCA_MLP,path1_inverse,Forward vs Inverse,1347.5517578125,1.3159685134887695,0.5488625764846802,4086.049560546875,6022639.5,3013362.75,3581.630615234375,36.66845703125
MLP,path1_inverse,Forward vs Inverse,1280.13427734375,1.2501311302185059,0.5795873999595642,4096.1728515625,6399210.0,3201653.0,inf,35.750492095947266
MiniViT,path2_inverse,Forward vs Inverse,1147.8778076171875,1.1209744215011597,0.6353277564048767,3107.946044921875,3229647.0,1616377.5,2527.206298828125,33.8644905090332
ConvNet,path2_inverse,Forward vs Inverse,1195.69775390625,1.1676737070083618,0.6153736114501953,2810.270263671875,2499337.25,1251073.75,2072.05615234375,34.560733795166016
PCA_MLP,path2_inverse,Forward vs Inverse,1523.2633056640625,1.487561821937561,0.505149245262146,3641.78076171875,4103128.5,2053385.125,,38.89842224121094
MLP,path2_inverse,Forward vs Inverse,1247.3514404296875,1.2181166410446167,0.593808114528656,3936.65234375,4979681.5,2491809.0,3895.591796875,35.296138763427734
MiniViT,path1_combine,full,1254.539794921875,1.2251365184783936,0.5904435515403748,3728.07373046875,4865774.0,2434751.0,3418.12255859375,35.39946746826172
MiniUNet,path1_combine,full,1215.4981689453125,1.1870098114013672,0.6071956157684326,3442.209228515625,4090250.5,2046846.375,2972.76611328125,34.84457778930664
