Model,Fold,Epoch,TrainAcc,ValAcc
MLP,0,1,0.7421458333333333,0.8736666666666667
MLP,0,2,0.908625,0.9189166666666667
MLP,0,3,0.9269583333333333,0.9290833333333334
MLP,0,4,0.9354791666666666,0.9295
MLP,0,5,0.9393958333333333,0.9359166666666666
MLP,1,1,0.7444583333333333,0.8690833333333333
MLP,1,2,0.898625,0.9090833333333334
MLP,1,3,0.9209791666666667,0.9224166666666667
MLP,1,4,0.9306666666666666,0.9289166666666666
MLP,1,5,0.93525,0.9356666666666666
MLP,2,1,0.7543125,0.8586666666666667
MLP,2,2,0.8823333333333333,0.8978333333333334
MLP,2,3,0.9068541666666666,0.9088333333333334
MLP,2,4,0.9152916666666666,0.91675
MLP,2,5,0.9225625,0.9115833333333333
MLP,3,1,0.7401666666666666,0.8836666666666667
MLP,3,2,0.9022291666666666,0.9095833333333333
MLP,3,3,0.9164791666666666,0.915
MLP,3,4,0.925625,0.9229166666666667
MLP,3,5,0.9310833333333334,0.9244166666666667
MLP,4,1,0.7111041666666666,0.8875
MLP,4,2,0.8996041666666666,0.913
MLP,4,3,0.9192291666666667,0.9173333333333333
MLP,4,4,0.9277708333333333,0.925
MLP,4,5,0.9358541666666667,0.9303333333333333
