Model,Fold,Epoch,TrainAcc,ValAcc
MiniViT,0,1,0.6956875,0.8754166666666666
MiniViT,0,2,0.8981458333333333,0.906
MiniViT,0,3,0.9202916666666666,0.9299166666666666
MiniViT,0,4,0.9340208333333333,0.9315833333333333
MiniViT,0,5,0.9391458333333333,0.9456666666666667
MiniViT,1,1,0.6760833333333334,0.8753333333333333
MiniViT,1,2,0.8894583333333334,0.9114166666666667
MiniViT,1,3,0.9145,0.92675
MiniViT,1,4,0.92575,0.9325833333333333
MiniViT,1,5,0.9337916666666667,0.917
MiniViT,2,1,0.6463541666666667,0.8538333333333333
MiniViT,2,2,0.8831875,0.9089166666666667
MiniViT,2,3,0.9152708333333334,0.9216666666666666
MiniViT,2,4,0.9266875,0.9265833333333333
MiniViT,2,5,0.9357291666666666,0.93775
MiniViT,3,1,0.6809166666666666,0.8579166666666667
MiniViT,3,2,0.8930208333333334,0.9120833333333334
MiniViT,3,3,0.9179791666666667,0.924
MiniViT,3,4,0.9290416666666667,0.9315
MiniViT,3,5,0.9372916666666666,0.9375833333333333
MiniViT,4,1,0.6669166666666667,0.845
MiniViT,4,2,0.8881666666666667,0.9103333333333333
MiniViT,4,3,0.9169375,0.9305
MiniViT,4,4,0.9333333333333333,0.9321666666666667
MiniViT,4,5,0.9400833333333334,0.941
