Model,Fold,Epoch,TrainAcc,ValAcc
PCAMLP,0,1,0.688875,0.8833333333333333
PCAMLP,0,2,0.9017291666666667,0.9163333333333333
PCAMLP,0,3,0.9300625,0.9363333333333334
PCAMLP,0,4,0.9417291666666666,0.9440833333333334
PCAMLP,0,5,0.9505625,0.9465
PCAMLP,1,1,0.7116875,0.90575
PCAMLP,1,2,0.922125,0.932
PCAMLP,1,3,0.9399166666666666,0.94125
PCAMLP,1,4,0.94575,0.9460833333333334
PCAMLP,1,5,0.9522708333333333,0.9493333333333334
PCAMLP,2,1,0.6828125,0.8691666666666666
PCAMLP,2,2,0.897,0.9213333333333333
PCAMLP,2,3,0.9259791666666667,0.9258333333333333
PCAMLP,2,4,0.9396666666666667,0.9370833333333334
PCAMLP,2,5,0.9470625,0.94625
PCAMLP,3,1,0.67625,0.85025
PCAMLP,3,2,0.8890833333333333,0.9071666666666667
PCAMLP,3,3,0.9223541666666667,0.9215833333333333
PCAMLP,3,4,0.9357708333333333,0.9326666666666666
PCAMLP,3,5,0.9456666666666667,0.9394166666666667
PCAMLP,4,1,0.6817708333333333,0.89075
PCAMLP,4,2,0.9130833333333334,0.9208333333333333
PCAMLP,4,3,0.9345208333333334,0.9346666666666666
PCAMLP,4,4,0.9415,0.93925
PCAMLP,4,5,0.9495208333333334,0.94475
